Borosil Renewables Ltd,514.05,545.9,533.1,555.0,213.25,747.9,545.15,700,2022-02-25 11:11:12,31.850000000000023,6.195895340920149,False,IN,INR
Gail India,129.75,133.75,131.0,134.2,125.2,171.3,133.4,150,2022-02-25 11:11:13,4.0,3.0828516377649327,True,IN,INR
Zomato Ltd,78.5,81.35,80.75,83.4,75.75,169.0,81.1,100,2022-02-25 11:11:14,2.8499999999999943,3.6305732484076363,False,IN,INR
Yes Bank Limited,12.6,13.2,12.85,13.35,10.5,16.9,13.15,14.05,2022-02-25 11:11:14,0.5999999999999996,4.761904761904759,True,IN,INR
Larsen & Toubro Limited,1757.35,1788.2,1770.65,1798.7,1306.0,2078.55,1788.45,1900,2022-02-25 11:11:15,30.850000000000136,1.7554841095968439,False,IN,INR
NTPC Limited,124.4,129.45,125.0,129.85,97.05,152.1,129.3,150,2022-02-25 11:11:17,5.049999999999983,4.05948553054661,False,IN,INR
ITC Ltd,208.5,215.05,210.55,215.4,199.1,265.3,215.05,270,2022-02-25 11:11:18,6.550000000000011,3.1414868105515645,False,IN,INR
Apple Inc,160.07,162.74,152.0,162.85,116.21,182.94,160,180,2022-02-25 11:11:19,2.670000000000016,1.668020241144509,True,US,Dollar
Tesla Inc,764.04,800.77,700.0,802.48,539.49,1243.49,800,900,2022-02-25 11:11:20,36.73000000000002,4.8073399298466075,True,US,Dollar
Amazon Inc,2896.54,3027.16,2790.0,3034.98,2707.04,3773.08,2900,3200,2022-02-25 11:11:21,130.6199999999999,4.509518252811972,True,US,Dollar
Meta Platform(Facebook),178.24,177.22,169.08,177.72,169.08,324.8,160,190,2022-02-25 11:11:22,-1.0200000000000102,-0.5722621184919268,True,US,Dollar
Alphabet Inc,2551.76,2653.82,2499.07,2660.0,1990.23,3030.93,2590,3000,2022-02-25 11:11:23,102.05999999999995,3.9995924381603256,True,US,Dollar
NVIDIA Corporation,223.87,237.48,208.9,238.0,115.67,346.47,230,300,2022-02-25 11:11:24,13.609999999999985,6.079421092598376,True,US,Dollar
Vodafone Idea Ltd,9.65,10.25,9.9,10.5,4.55,16.8,10.2,11.5,2022-02-25 11:11:47,0.5999999999999996,6.217616580310877,True,IN,INR
Steel Authority of India Limited,85.0,92.1,88.4,92.15,67.1,151.3,91.6,130,2022-02-25 11:11:48,7.099999999999994,8.352941176470582,True,IN,INR
Birlasoft Ltd,382.2,406.45,397.2,411.0,215.9,585.85,406.0,500,2022-02-25 11:11:49,24.25,6.3448456305599175,True,IN,INR
Trident Ltd,50.15,51.2,47.65,52.0,13.1,70.35,51.05,70,2022-02-25 11:11:50,1.0500000000000043,2.0937188434696,True,IN,INR
